observation_index,mean_accelerationX,max_accelerationX,min_accelerationX,mean_accelerationY,max_accelerationY,min_accelerationY,mean_accelerationZ,max_accelerationZ,min_accelerationZ,mean_rotationRateX,max_rotationRateX,min_rotationRateX,mean_rotationRateY,max_rotationRateY,min_rotationRateY,mean_rotationRateZ,max_rotationRateZ,min_rotationRateZ,mean_quaternionW,max_quaternionW,min_quaternionW,mean_quaternionX,max_quaternionX,min_quaternionX,mean_quaternionY,max_quaternionY,min_quaternionY,mean_quaternionZ,max_quaternionZ,min_quaternionZ
0,0.23236835388631255,0.23236835388631255,0.23236835388631255,-0.6343792820990753,-0.6343792820990753,-0.6343792820990753,-1.0484352628981004,-1.0484352628981004,-1.0484352628981004,0.21442000167548012,0.21442000167548012,0.21442000167548012,0.4276065212608028,0.4276065212608028,0.4276065212608028,0.1495793603184724,0.1495793603184724,0.1495793603184724,1.156747312873995,1.156747312873995,1.156747312873995,0.740968297042521,0.740968297042521,0.740968297042521,-1.6483212119329664,-1.6483212119329664,-1.6483212119329664,0.5463095778878612,0.5463095778878612,0.5463095778878612
1,0.2336190350999338,0.2336190350999338,0.2336190350999338,-0.6391311674281017,-0.6391311674281017,-0.6391311674281017,-1.0641019722607616,-1.0641019722607616,-1.0641019722607616,0.2186566765376033,0.2186566765376033,0.2186566765376033,0.428448235902856,0.428448235902856,0.428448235902856,0.1488406730868643,0.1488406730868643,0.1488406730868643,1.156942968341015,1.156942968341015,1.156942968341015,0.7392743893881374,0.7392743893881374,0.7392743893881374,-1.647983028368785,-1.647983028368785,-1.647983028368785,0.5457729613543155,0.5457729613543155,0.5457729613543155
2,0.23134298591489472,0.23134298591489472,0.23134298591489472,-0.6507902671634993,-0.6507902671634993,-0.6507902671634993,-1.0705664739509457,-1.0705664739509457,-1.0705664739509457,0.22429731516092785,0.22429731516092785,0.22429731516092785,0.42784285405648625,0.42784285405648625,0.42784285405648625,0.15019560913766064,0.15019560913766064,0.15019560913766064,1.157116218880319,1.157116218880319,1.157116218880319,0.7378871724828824,0.7378871724828824,0.7378871724828824,-1.647632614754358,-1.647632614754358,-1.647632614754358,0.5453160858529233,0.5453160858529233,0.5453160858529233
3,0.23442079021635587,0.23442079021635587,0.23442079021635587,-0.6589570700527612,-0.6589570700527612,-0.6589570700527612,-1.0701635270012575,-1.0701635270012575,-1.0701635270012575,0.22504158990350798,0.22504158990350798,0.22504158990350798,0.42849912946699376,0.42849912946699376,0.42849912946699376,0.14921069249036364,0.14921069249036364,0.14921069249036364,1.1572762486312127,1.1572762486312127,1.1572762486312127,0.7367075323055141,0.7367075323055141,0.7367075323055141,-1.6472656808542852,-1.6472656808542852,-1.6472656808542852,0.5449091098566892,0.5449091098566892,0.5449091098566892
4,0.2407669270732549,0.2407669270732549,0.2407669270732549,-0.6685299220457217,-0.6685299220457217,-0.6685299220457217,-1.0802768077693243,-1.0802768077693243,-1.0802768077693243,0.22443659402833607,0.22443659402833607,0.22443659402833607,0.42466500878245916,0.42466500878245916,0.42466500878245916,0.15145575949064433,0.15145575949064433,0.15145575949064433,1.1574139242937993,1.1574139242937993,1.1574139242937993,0.7362634784372117,0.7362634784372117,0.7362634784372117,-1.6467249168374691,-1.6467249168374691,-1.6467249168374691,0.5463095778878612,0.5463095778878612,0.5463095778878612
5,0.2446318621000687,0.2446318621000687,0.2446318621000687,-0.6857660401181607,-0.6857660401181607,-0.6857660401181607,-1.0773238325112273,-1.0773238325112273,-1.0773238325112273,0.22327060141252583,0.22327060141252583,0.22327060141252583,0.4246223240039158,0.4246223240039158,0.4246223240039158,0.15314177413872077,0.15314177413872077,0.15314177413872077,1.1575431555304867,1.1575431555304867,1.1575431555304867,0.7349891379302237,0.7349891379302237,0.7349891379302237,-1.6465543259924216,-1.6465543259924216,-1.6465543259924216,0.5459828217827138,0.5459828217827138,0.5459828217827138
6,0.2452060518233682,0.2452060518233682,0.2452060518233682,-0.6912723461026674,-0.6912723461026674,-0.6912723461026674,-1.0729369156657835,-1.0729369156657835,-1.0729369156657835,0.22218978588732405,0.22218978588732405,0.22218978588732405,0.42642881028178725,0.42642881028178725,0.42642881028178725,0.15454958054901968,0.15454958054901968,0.15454958054901968,1.157670076116018,1.157670076116018,1.157670076116018,0.7337916315693811,0.7337916315693811,0.7337916315693811,-1.64636275186517,-1.64636275186517,-1.64636275186517,0.545684124006024,0.545684124006024,0.545684124006024
7,0.24811348846800999,0.24811348846800999,0.24811348846800999,-0.693232707856873,-0.693232707856873,-0.693232707856873,-1.089063640999972,-1.089063640999972,-1.089063640999972,0.22032016710046584,0.22032016710046584,0.22032016710046584,0.42351344489328413,0.42351344489328413,0.42351344489328413,0.15523735903326696,0.15523735903326696,0.15523735903326696,1.1577704661557608,1.1577704661557608,1.1577704661557608,0.7322131807589568,0.7322131807589568,0.7322131807589568,-1.6464587278863114,-1.6464587278863114,-1.6464587278863114,0.5454855838829515,0.5454855838829515,0.5454855838829515
8,0.25985759205488645,0.25985759205488645,0.25985759205488645,-0.6959876180622776,-0.6959876180622776,-0.6959876180622776,-1.096860805185611,-1.096860805185611,-1.096860805185611,0.2193578951118665,0.2193578951118665,0.2193578951118665,0.4246603491294548,0.4246603491294548,0.4246603491294548,0.15579411314880504,0.15579411314880504,0.15579411314880504,1.157933304784023,1.157933304784023,1.157933304784023,0.7303063269644379,0.7303063269644379,0.7303063269644379,-1.646350043122552,-1.646350043122552,-1.646350043122552,0.5452761983062987,0.5452761983062987,0.5452761983062987
9,0.2643608726000324,0.2643608726000324,0.2643608726000324,-0.701696870260534,-0.701696870260534,-0.701696870260534,-1.0923650974873735,-1.0923650974873735,-1.0923650974873735,0.2209920718879862,0.2209920718879862,0.2209920718879862,0.42498661504121804,0.42498661504121804,0.42498661504121804,0.15597239594508897,0.15597239594508897,0.15597239594508897,1.158120358222975,1.158120358222975,1.158120358222975,0.7284450581476923,0.7284450581476923,0.7284450581476923,-1.646092117913408,-1.646092117913408,-1.646092117913408,0.5450896296565578,0.5450896296565578,0.5450896296565578
