time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,label
1713126977762439200,0.157439208984375,-3.3301899433135986,0.8958202004432678,0.2986707091331482,0.19656527042388916,0.3377264738082886,-0.920490562915802,-0.16069188714027405,0.02294546365737915,0.285969078540802,0.979921017641889,-0.172323319463932,0.100296487469018,-4.3317327788311473e-17, P
1713126977772458200,0.167458251953125,-3.494133472442627,0.9945043325424194,0.2866763472557068,0.20627175271511078,0.36830201745033264,-0.9065349102020264,-0.15492595732212067,0.04658442735671997,0.27155566215515137,0.9763513129496018,-0.18886356697264714,0.10518121614693289,0.002340629188903761, P
1713126977782476500,0.1774765625,-3.6481716632843018,1.0754480361938477,0.26624616980552673,0.21667331457138062,0.3999778628349304,-0.8905449509620667,-0.1518997848033905,0.04797437787055969,0.28118520975112915,0.9722403123661518,-0.20622098948900502,0.110455491381683,0.004593986640151799, P
1713126977792495400,0.187495361328125,-3.665322780609131,1.1422922611236572,0.26611968874931335,0.22756646573543549,0.4316651225090027,-0.8728566765785217,-0.15540768206119537,0.010504037141799927,0.28940629959106445,0.967668724272507,-0.2238542717780349,0.1160212580162749,0.006759264372042912, P
1713126977802513400,0.197513427734375,-3.7609171867370605,1.1992604732513428,0.2618844509124756,0.23890981078147888,0.46311888098716736,-0.8534886837005615,-0.12985526025295258,0.034699052572250366,0.255481481552124,0.9626344877121422,-0.24167337222523605,0.12185904295508204,0.00889293958313637, P
1713126977812532500,0.207532470703125,-3.926814556121826,1.2486621141433716,0.2267426997423172,0.2504350543022156,0.49498093128204346,-0.8320313692092896,-0.07546254992485046,0.11860546469688416,0.18444836139678955,0.9570245448657004,-0.26006614230212016,0.12786681427546567,0.010942810789306878, P
1713126977822581000,0.2175810546875,-4.049479007720947,1.2916591167449951,0.18719476461410522,0.2619231343269348,0.5272120833396912,-0.8083586096763611,-0.032064735889434814,0.13860517740249634,0.14917898178100586,0.9508833686725371,-0.2772222554131873,0.13772620988320503,1.6790135234658507e-17, P
1713126977832599000,0.22759912109375,-4.268118381500244,1.337673544883728,0.15922917425632477,0.2733422815799713,0.5598768591880798,-0.7821903824806213,-0.033336788415908813,0.09116989374160767,0.1281834840774536,0.9439764943950224,-0.29683577763485924,0.14419888419559587,0.001855511831624571, P
1713126977842618000,0.2376181640625,-4.540058612823486,1.3692777156829834,0.14827106893062592,0.2846493422985077,0.593280553817749,-0.7529892921447754,-0.04018831253051758,0.10180306434631348,0.09413003921508789,0.9362053722925457,-0.31745682637397,0.1507531637820684,0.003744600568190264, P
1713126977852636200,0.24763623046875,-4.8306427001953125,1.3861923217773438,0.15062104165554047,0.29571083188056946,0.6274613738059998,-0.7203105688095093,-0.026149123907089233,0.12740617990493774,0.08388179540634155,0.9274275387410165,-0.339259967684095,0.15731304048294853,0.005774239321480062, P
1713126977862655200,0.2576552734375,-5.05908203125,1.4207934141159058,0.23219898343086243,0.30679452419281006,0.6617292165756226,-0.6840990781784058,-0.016206175088882446,0.10293447971343994,0.08415400981903076,0.9175962891428262,-0.362035432389756,0.16395365857486638,0.008159401718127783, P
1713126977872673000,0.267673095703125,-5.200036525726318,1.4477386474609375,0.34661027789115906,0.3183141350746155,0.6950082182884216,-0.6447011828422546,-0.013886064291000366,0.0792226791381836,0.08050751686096191,0.9067676085963476,-0.385323479107701,0.17080753739656418,0.011092822568227521, P
1713126977882692000,0.277692138671875,-5.244062900543213,1.4566189050674438,0.42836371064186096,0.33019429445266724,0.7264289855957031,-0.6027209758758545,-0.011468738317489624,0.0566367506980896,0.05311465263366699,0.8950694834990117,-0.4086809279197722,0.17781846779177876,0.014527853449612362, P
1713126977892710100,0.287710205078125,-5.143914222717285,1.4485548734664917,0.5164482593536377,0.3421365022659302,0.7551182508468628,-0.559230625629425,-0.004947841167449951,0.036278724670410156,0.012264132499694824,0.8827691000110831,-0.4315250125433814,0.18485357866946667,0.01827290797280147, P
1713126977902729000,0.29772900390625,-5.070802211761475,1.4301596879959106,0.6409901976585388,0.35433337092399597,0.780590295791626,-0.5149044394493103,0.006628513336181641,0.03387808799743652,-0.018573284149169922,0.8700283345125578,-0.4535478386315424,0.19194304149004293,0.02242496672869413, P
1713126977912748000,0.307748046875,-5.064123630523682,1.3905531167984009,0.7500618100166321,0.36683928966522217,0.8030347228050232,-0.469642698764801,0.017422765493392944,0.03592401742935181,-0.035942018032073975,0.8567884977209697,-0.47492872171715755,0.19905113685343548,0.02710916435225249, P
1713126977922766300,0.317766357421875,-5.116161823272705,1.3273674249649048,0.8378713130950928,0.3793793320655823,0.8228460550308228,-0.42307862639427185,0.01885974407196045,0.008147478103637695,-0.03424254059791565,0.8429073992968836,-0.496005511758966,0.20600782326238457,0.03234671525747914, P
1713126977932785200,0.32778515625,-5.052051544189453,1.3054357767105103,1.0155127048492432,0.3922257125377655,0.8396865725517273,-0.37561318278312683,0.02047869563102722,-0.03942418098449707,-0.02482318878173828,0.8284612787717697,-0.5165889646396227,0.21290665752402435,0.03818883140209131, P
1713126977942803200,0.33780322265625,-4.79028844833374,1.2911596298217773,1.235868215560913,0.40639063715934753,0.8525820374488831,-0.3285578787326813,0.019222676753997803,-0.03837317228317261,-0.035715192556381226,0.8138021745134284,-0.5359416143039711,0.22019909883887284,0.04477506031290646, P
