"time","seconds_elapsed","rotationRateX","rotationRateY","rotationRateZ","gravityX","gravityY","gravityZ","accelerationX","accelerationY","accelerationZ","quaternionW","quaternionX","quaternionY","quaternionZ","label"
"1.71E+18","0.347868408","-0.163434312","-0.011823021","-0.004013229","-0.490739167","-0.142847434","-0.859517097","0.023896456","-0.032506585","-0.017588556","0.964235581","0.073309953","-0.254690187","-0.002888433","N"
"1.71E+18","0.357888428","-0.241443366","0.009643656","-0.058793653","-0.490279794","-0.141164988","-0.860057116","0.019713908","-0.048120305","-0.009144545","0.9643744","0.07232767","-0.254440881","-0.003268116","N"
"1.71E+18","0.367908447","-0.312069327","0.048251502","-0.145554125","-0.489408284","-0.139176458","-0.860877156","0.007932365","-0.050398752","-0.002251506","0.964583532","0.071050806","-0.253994509","-0.004148864","N"
"1.71E+18","0.377928223","-0.362011313","0.03981008","-0.167025059","-0.488367468","-0.137028337","-0.861812353","-0.007726341","-0.062053099","0.005382299","0.964820232","0.069615148","-0.253471033","-0.005318412","N"
"1.71E+18","0.387948242","-0.578188121","0.009729942","-0.28809607","-0.487543523","-0.134196267","-0.862724006","0.008463264","-0.076420814","0.008536994","0.965045971","0.067705311","-0.25308891","-0.006951689","N"
"1.71E+18","0.397968262","-0.836579978","0.014166823","-0.374828845","-0.486780465","-0.129722938","-0.863838375","0.008020639","-0.084922463","0.031852961","0.965312775","0.064701497","-0.252773671","-0.009511625","N"
"1.71E+18","0.407988281","-0.964075327","0.035955474","-0.414257199","-0.485972822","-0.123965383","-0.865137577","-0.015919328","-0.122265704","0.051493227","0.965613702","0.060892947","-0.252434665","-0.012611683","N"
"1.71E+18","0.418008301","-0.997074306","0.029469667","-0.401854336","-0.485119969","-0.117389008","-0.866532445","-0.024935633","-0.127087325","0.04376334","0.965929155","0.056663148","-0.252037841","-0.015719533","N"
"1.71E+18","0.428027344","-1.217715621","0.033175189","-0.565655231","-0.484412462","-0.110148758","-0.867877781","-0.012505323","-0.114735283","0.04568851","0.966208587","0.051922261","-0.251724433","-0.019492124","D"
"1.71E+18","0.438047363","-1.467134118","0.023302689","-0.644416928","-0.483464628","-0.101430558","-0.869467556","-0.04918927","-0.1549934","0.079459071","0.966516393","0.04621162","-0.251258256","-0.024082759","D"
"1.71E+18","0.448067383","-1.782814145","0.009588209","-0.73355639","-0.482699454","-0.090618022","-0.871085346","-0.080410957","-0.212421536","0.100043535","0.966786578","0.039227561","-0.250835661","-0.029438925","D"
"1.71E+18","0.458087402","-2.049195528","0.056802966","-0.914291799","-0.48182267","-0.077765569","-0.872811258","-0.080875784","-0.227440745","0.13576597","0.967016728","0.030933306","-0.250274857","-0.035839631","D"
"1.71E+18","0.468107422","-2.298550606","-0.049607895","-0.96052587","-0.481383175","-0.063234009","-0.874226391","-0.103944063","-0.24043116","0.155659497","0.967085229","0.021552448","-0.24984456","-0.043122615","D"
"1.71E+18","0.478127441","-2.440206528","-0.010823907","-1.012465835","-0.48093766","-0.047197137","-0.875483572","-0.126713187","-0.258146495","0.164805472","0.967032115","0.01128315","-0.249260738","-0.050900116","D"
"1.71E+18","0.488147217","-2.620457649","-0.092066839","-1.205537319","-0.480917424","-0.030235408","-0.876244426","-0.152764916","-0.25417316","0.188759744","0.96674568","0.000360374","-0.248752192","-0.059373603","D"
"1.71E+18","0.498167236","-2.624287844","-0.010668593","-1.356707096","-0.481019735","-0.013247442","-0.876609683","-0.111036599","-0.176693961","0.218147218","0.96620217","-0.01086091","-0.248147518","-0.06898137","D"
"1.71E+18","0.508187256","-2.41511178","-0.06917771","-1.338164568","-0.481281936","0.002294977","-0.876562893","-0.159877211","-0.176931828","0.16692239","0.965458926","-0.021327446","-0.247515047","-0.07855395","D"
"1.71E+18","0.518207275","-2.459395885","-0.070761919","-1.52775228","-0.48214817","0.016763898","-0.875929296","-0.147322744","-0.172037333","0.185560703","0.964437713","-0.031353879","-0.24708758","-0.088458169","D"
"1.71E+18","0.528227295","-2.480680227","0.008599218","-1.683298826","-0.482768744","0.030743042","-0.87520808","-0.160587639","-0.117107794","0.227274179","0.963192306","-0.041361139","-0.246343671","-0.099321445","D"
"1.71E+18","0.538247314","-2.488602161","-0.019069802","-1.687427759","-0.483467489","0.044199504","-0.874245763","-0.218970925","-0.175623447","0.245003819","0.961727362","-0.051176016","-0.245475332","-0.110469847","D"
"1.71E+18","0.548267334","-2.70155859","-0.029977307","-1.822134376","-0.484605104","0.058440872","-0.872778654","-0.208617002","-0.211959556","0.246451199","0.959939691","-0.061546853","-0.2445867","-0.122086899","D"
"1.71E+18","0.558287354","-2.768099308","-0.025210306","-1.914777279","-0.486065447","0.073332511","-0.870840251","-0.199771434","-0.157057494","0.24736619","0.957784086","-0.072467941","-0.243573932","-0.134424832","D"
"1.71E+18","0.568307373","-2.747283697","-0.066099942","-2.003982306","-0.488034785","0.087806158","-0.868396342","-0.202913761","-0.117637075","0.246753275","0.95527251","-0.083329507","-0.242606747","-0.147148869","D"
"1.71E+18","0.578327393","-2.741004705","-0.099067591","-2.106720448","-0.490687877","0.101616636","-0.865389824","-0.204517901","-0.079964414","0.224520683","0.952369322","-0.094039915","-0.241788312","-0.160274133","D"
"1.71E+18","0.588347168","-2.834550142","-0.106279425","-2.225977659","-0.494059414","0.114983752","-0.861791193","-0.213597536","-0.053353488","0.239400506","0.949019941","-0.10477068","-0.241096453","-0.173945272","D"
"1.71E+18","0.598367432","-2.969982624","-0.162352815","-2.30181098","-0.4979105","0.128730595","-0.857620895","-0.223372549","-0.071098134","0.274628401","0.945210594","-0.115923685","-0.240314905","-0.188115664","D"
